,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,59.72,55.62,73.84,66.84,84.32,70.02,61.24,53.46
1,52.94,49.78,68.08,60.08,71.8,63.02,68.78,54.38
2,50.53,50.42,58.26,55.26,62.47,53.0,50.58,50.84
3,54.13,51.81,66.09,60.36,71.78,61.2,59.24,52.85
4,51.3,57.86,58.46,68.04,56.82,63.16,47.12,55.82
5,62.31,35.6,63.44,31.52,70.82,55.88,55.1,50.82
6,54.95,49.79,49.58,47.95,50.37,51.95,50.68,50.42
7,55.82,45.83,56.56,44.59,58.17,56.63,50.76,52.24
8,67.31,60.54,78.42,62.68,76.98,67.4,77.0,60.94
9,67.93,62.02,77.8,55.34,84.0,64.36,71.52,61.8
10,58.16,58.89,56.0,56.05,58.58,57.37,49.05,56.58
11,64.14,60.46,69.03,57.84,71.49,62.75,63.35,59.68
12,85.52,61.3,91.72,69.2,93.6,58.62,47.42,46.14
13,68.58,53.54,87.98,51.1,77.42,60.8,72.56,42.46
14,59.58,50.68,73.0,50.47,62.37,50.16,50.63,50.89
15,69.67,54.82,83.41,55.73,75.69,56.13,54.92,46.24
16,65.91,63.04,60.4,52.12,58.46,57.58,58.24,48.92
17,54.35,44.87,59.44,62.98,63.4,63.14,56.26,60.92
18,52.05,53.16,51.89,49.37,51.11,49.95,50.63,53.68
19,56.84,52.67,56.98,54.23,57.2,56.36,54.85,54.07
20,68.86,62.54,65.64,60.36,64.38,70.94,69.46,56.16
21,51.34,43.48,52.8,51.16,50.98,45.16,54.98,38.82
22,53.89,48.21,50.74,51.32,50.68,48.11,52.11,49.84
23,57.08,50.23,55.68,53.96,54.67,52.61,57.94,47.15
24,64.36,55.72,66.7,51.98,68.42,66.54,62.58,40.18
25,39.44,47.96,57.4,46.98,48.34,58.74,68.84,65.04
26,49.21,51.32,53.05,49.89,51.74,56.37,52.05,48.26
27,49.01,51.47,58.52,49.53,54.91,60.25,60.34,49.19
28,57.45,52.15,62.56,53.28,62.33,57.81,57.08,51.29
