,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,61.96,54.03,71.74,66.34,82.3,72.32,59.14,55.3
1,61.66,49.36,69.48,59.84,73.64,66.14,65.86,56.58
2,55.47,50.53,61.68,54.74,61.16,53.74,48.63,51.0
3,59.54,51.23,67.35,59.93,71.29,63.08,56.97,54.19
4,51.46,61.5,58.46,67.38,56.82,61.96,46.04,55.02
5,63.59,34.1,65.66,32.44,71.76,58.64,59.5,52.08
6,56.79,49.68,49.68,47.79,52.84,52.11,50.68,50.68
7,56.85,45.65,57.18,45.05,59.45,57.27,51.5,52.53
8,62.49,62.64,73.74,63.48,72.76,68.32,75.4,59.72
9,61.83,61.86,69.0,56.9,79.36,64.76,70.36,60.36
10,55.16,58.37,54.58,55.58,55.47,55.79,48.89,56.79
11,59.64,60.9,64.69,58.46,67.61,62.5,62.59,58.91
12,80.83,56.84,93.92,67.58,96.04,54.38,64.18,47.24
13,71.55,51.53,88.86,50.0,83.72,62.94,83.9,46.26
14,60.42,52.16,73.21,50.21,67.74,53.74,51.84,51.89
15,69.93,53.41,84.36,54.83,80.82,56.73,64.12,48.34
16,65.94,63.02,56.4,50.3,55.0,54.66,53.56,48.06
17,49.21,44.29,55.96,62.18,61.18,63.62,52.16,59.3
18,51.32,54.58,50.74,48.37,52.74,51.47,53.32,53.37
19,54.57,52.85,54.24,52.97,56.09,56.14,53.0,53.18
20,68.07,60.25,56.04,49.94,61.84,62.82,65.12,50.68
21,51.64,49.95,54.38,57.4,54.88,55.32,54.4,40.94
22,54.16,48.16,50.63,51.26,49.11,47.68,51.32,49.58
23,57.12,52.28,53.59,52.68,54.79,54.58,56.36,46.64
24,68.07,50.58,64.18,50.48,60.92,64.52,61.94,39.28
25,52.92,63.49,62.84,46.94,54.88,64.94,69.4,70.42
26,52.95,51.0,53.95,49.32,51.79,57.95,51.89,48.42
27,57.17,54.42,59.96,48.87,55.61,62.3,60.21,49.74
28,58.94,52.63,61.72,52.81,62.46,58.76,57.49,51.66
