,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,66.74,56.22,74.34,66.9,84.46,71.3,61.32,52.84
1,52.72,54.24,64.46,58.88,66.44,65.08,67.68,53.1
2,51.53,50.95,58.32,55.42,60.37,53.16,50.79,50.74
3,56.22,53.71,65.06,60.03,69.04,62.24,59.09,52.2
4,46.54,71.28,78.94,74.92,78.94,75.56,73.1,61.48
5,54.02,30.3,37.34,29.9,51.72,44.4,31.0,44.5
6,52.32,49.63,49.05,47.53,56.79,52.05,47.89,49.74
7,50.75,44.66,50.14,44.23,60.47,54.58,44.9,50.98
8,53.88,61.2,59.12,64.26,67.1,66.3,71.52,55.44
9,59.2,58.26,56.92,57.16,77.8,63.54,66.94,59.0
10,56.89,55.05,55.32,57.42,52.95,54.58,48.89,56.0
11,56.57,58.06,57.08,59.44,64.32,61.05,60.76,56.77
12,85.76,64.5,95.78,69.88,96.76,65.44,49.6,47.82
13,57.46,50.04,87.2,51.78,74.28,56.32,70.52,41.12
14,63.05,53.58,76.32,50.42,69.37,53.47,50.16,50.89
15,66.78,55.4,85.69,56.12,78.51,57.98,55.27,46.24
16,58.2,61.34,73.44,60.58,68.32,67.14,67.4,57.12
17,60.87,55.42,41.8,47.16,51.72,52.64,35.9,46.08
18,50.53,52.37,52.16,49.37,51.58,50.89,50.11,50.68
19,56.18,56.14,52.9,51.75,56.22,56.03,47.89,50.9
20,68.1,61.94,64.82,60.14,64.22,70.7,69.44,56.04
21,51.42,42.98,52.88,51.82,52.12,48.66,55.0,38.78
22,53.79,47.89,50.58,51.42,50.68,47.47,52.11,49.79
23,56.9,49.76,55.44,54.18,55.06,53.8,57.94,47.08
24,63.48,54.9,67.36,52.54,68.1,66.88,62.96,40.58
25,39.78,48.92,57.62,46.98,49.18,58.72,69.3,65.46
26,49.26,50.95,53.05,49.84,51.74,55.63,52.05,48.47
27,49.03,51.47,58.77,49.68,55.2,60.05,60.58,49.55
28,55.59,52.39,59.09,53.1,61.74,57.8,54.52,50.33
