,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,62.4,55.68,73.18,66.72,84.52,70.36,60.7,53.5
1,53.82,50.12,67.7,59.9,71.16,64.28,68.06,55.16
2,50.32,50.58,58.42,55.26,62.16,52.58,49.84,51.0
3,55.07,52.01,65.86,60.27,71.48,61.49,58.56,53.16
4,51.72,58.04,58.8,68.0,57.62,63.16,47.9,55.88
5,62.62,35.84,63.5,31.52,70.9,55.88,55.38,50.88
6,55.16,49.89,49.63,47.95,50.53,51.95,51.0,50.42
7,56.14,46.03,56.71,44.58,58.54,56.63,51.25,52.28
8,67.62,63.4,79.52,63.24,78.56,68.16,77.06,60.16
9,69.46,62.5,76.46,56.08,84.6,65.24,71.64,61.32
10,55.79,59.21,57.0,55.84,58.42,58.21,49.05,56.53
11,63.68,61.65,69.45,58.19,72.0,63.59,63.4,59.26
12,88.96,62.78,93.62,69.62,95.38,59.78,49.74,46.3
13,70.12,54.14,89.26,51.48,80.64,62.4,74.14,43.1
14,61.26,51.84,77.26,50.47,67.84,50.84,51.84,51.26
15,71.73,55.88,86.14,55.97,79.73,57.23,56.73,46.65
16,67.98,64.98,63.62,53.12,61.42,59.5,59.96,49.32
17,55.66,46.78,58.74,60.96,61.82,61.92,55.9,58.0
18,51.79,53.32,50.79,49.47,52.63,50.84,51.84,53.84
19,57.71,54.03,57.22,54.11,58.3,57.01,55.7,53.49
20,68.96,62.62,65.54,60.18,64.32,70.98,69.42,56.04
21,51.18,43.48,52.68,51.28,51.0,45.28,55.16,38.76
22,53.84,48.16,50.74,51.37,50.63,48.16,52.11,49.84
23,57.02,50.22,55.61,53.97,54.64,52.69,58.0,47.09
24,64.54,56.06,66.76,51.98,68.66,66.94,62.66,40.38
25,40.28,48.1,58.3,46.68,48.24,58.38,69.1,65.1
26,49.21,51.47,53.21,49.84,51.68,54.95,52.0,48.47
27,49.47,51.67,58.91,49.4,54.9,59.68,60.41,49.38
28,58.0,52.69,62.91,53.3,62.96,58.14,57.5,51.31
