,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,60.18,66.08,63.54,52.28,50.92,41.98,37.86,35.78
1,69.81,52.34,66.02,54.46,63.32,48.5,50.76,45.36
2,51.68,50.37,52.89,52.11,50.68,49.63,48.42,48.58
3,59.65,55.46,60.25,52.93,54.39,46.45,44.93,42.51
4,78.7,69.9,61.04,76.54,79.62,73.6,55.94,59.4
5,28.52,41.0,35.96,32.02,25.8,47.0,57.66,52.66
6,53.95,51.42,52.53,50.11,50.42,55.68,54.74,54.32
7,45.24,51.6,47.45,46.69,42.16,56.79,56.09,55.31
8,63.95,63.03,73.16,64.62,72.94,53.5,72.5,53.32
9,62.05,56.83,66.86,62.88,66.96,54.54,67.5,51.72
10,61.32,51.16,58.79,54.63,62.89,51.53,65.42,50.21
11,62.42,56.59,65.74,60.38,67.35,53.16,68.35,51.72
12,78.28,52.85,74.6,63.8,77.56,54.64,72.22,53.2
13,63.0,50.94,65.48,51.0,60.34,48.02,60.48,46.72
14,52.63,48.42,52.05,51.53,52.42,50.58,49.0,48.95
15,62.96,50.67,62.65,54.86,61.8,50.94,59.07,49.48
16,62.3,49.92,66.36,65.38,63.28,40.38,62.93,38.2
17,45.15,51.02,44.42,46.74,50.92,57.14,45.93,56.7
18,51.47,48.63,51.68,48.95,51.26,49.37,51.11,49.26
19,52.06,49.84,52.7,52.52,54.6,47.98,52.42,46.79
20,62.44,62.06,60.18,47.86,52.93,59.26,54.42,58.42
21,47.54,45.56,46.96,50.8,46.82,47.48,43.86,48.08
22,49.58,52.47,49.0,48.42,49.79,51.37,51.53,51.84
23,52.43,52.52,51.44,48.99,49.72,52.26,49.52,52.44
24,51.3,52.26,62.38,51.96,57.7,50.12,43.18,43.4
25,54.11,57.84,57.56,54.5,46.18,60.5,58.04,56.12
26,51.11,50.63,50.26,47.58,50.84,51.42,48.0,47.89
27,52.14,53.4,56.29,51.18,51.15,53.64,49.0,48.59
28,54.59,52.77,55.99,52.2,53.39,51.4,53.3,49.24
