,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,49.33,63.23,64.18,52.4,47.72,38.82,36.3,34.54
1,55.11,58.54,66.66,54.72,56.2,49.28,46.88,45.24
2,51.42,49.89,56.21,51.79,51.32,48.16,48.47,48.58
3,51.85,56.67,62.02,52.94,51.51,44.9,43.16,41.88
4,78.7,69.62,60.56,76.22,79.62,73.54,55.14,59.36
5,28.12,40.94,34.68,31.84,25.6,46.94,57.32,52.64
6,53.95,50.53,52.11,50.0,50.11,55.37,53.32,54.16
7,44.91,51.21,46.48,46.49,41.91,56.64,55.21,55.24
8,69.38,58.84,80.48,66.18,74.74,53.22,72.22,54.92
9,65.0,52.26,71.42,61.26,67.26,52.38,67.1,52.78
10,61.89,51.05,61.16,54.95,62.68,50.63,65.63,50.32
11,65.28,53.84,70.13,60.44,67.87,52.05,68.2,52.6
12,79.34,56.37,74.28,63.1,77.78,57.74,72.14,53.18
13,58.58,52.26,65.0,51.28,61.74,47.24,61.84,46.9
14,51.32,51.16,51.68,50.95,52.05,50.21,49.05,48.95
15,61.02,53.17,62.25,54.57,62.16,51.37,59.5,49.54
16,68.66,50.18,64.6,66.78,59.46,38.1,61.97,36.96
17,43.19,50.87,44.76,49.96,50.73,57.2,46.29,56.66
18,51.74,50.89,50.26,53.0,50.47,49.26,51.21,49.11
19,52.59,50.65,51.98,55.7,53.25,46.85,52.39,46.1
20,57.1,60.92,47.02,42.18,44.62,58.18,51.8,57.18
21,46.73,43.16,48.38,52.08,49.94,47.26,44.56,47.38
22,50.53,50.42,48.47,48.58,50.47,51.42,51.53,51.89
23,51.1,50.49,47.95,47.25,48.19,51.91,49.06,51.85
24,41.44,49.76,61.6,50.36,47.74,46.94,39.06,42.24
25,51.78,62.76,57.76,51.22,51.66,60.16,59.24,57.28
26,51.89,49.05,49.89,47.53,51.89,50.37,47.95,47.84
27,47.84,53.18,55.98,49.65,50.36,51.92,47.36,48.36
28,52.73,52.67,55.59,52.03,52.44,50.55,52.5,49.01
