,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,69.32,65.54,65.16,53.24,54.36,40.74,39.04,35.42
1,62.62,59.88,58.42,51.44,51.76,47.72,43.32,44.82
2,51.32,49.95,55.32,52.79,51.11,49.32,48.37,48.47
3,60.14,57.72,59.36,52.48,52.37,45.61,43.24,42.15
4,54.78,41.28,79.34,77.92,76.26,63.48,76.78,77.3
5,61.21,74.32,20.58,26.1,31.26,56.38,26.54,21.72
6,55.68,50.26,51.21,49.89,50.16,55.21,53.84,49.47
7,57.09,52.11,37.16,42.14,46.13,58.14,43.31,37.88
8,75.92,56.42,78.64,66.98,77.82,55.48,66.96,55.74
9,68.42,53.88,67.68,62.76,68.1,53.42,64.92,52.9
10,62.58,51.05,58.84,53.26,62.63,51.32,65.21,50.47
11,68.54,53.69,67.44,60.44,68.96,53.35,65.68,52.95
12,86.24,56.56,79.18,64.48,79.68,56.6,71.76,53.4
13,67.94,53.26,62.96,49.02,62.16,47.04,60.2,45.88
14,57.32,51.58,52.47,51.05,52.32,50.95,49.05,48.95
15,68.55,53.72,63.07,54.06,62.82,51.23,58.9,49.22
16,65.5,52.2,71.84,67.48,69.66,41.62,64.87,38.04
17,41.88,47.94,35.22,44.44,45.22,53.32,44.3,55.82
18,51.0,49.21,51.16,51.21,52.05,49.53,51.21,49.26
19,51.06,49.72,48.5,52.77,53.88,47.64,52.16,46.51
20,61.8,61.94,59.74,47.52,52.49,59.26,54.4,58.42
21,47.32,45.34,47.42,50.94,46.85,47.48,43.76,48.1
22,49.53,52.16,49.0,48.47,50.11,51.37,51.53,51.84
23,52.17,52.29,51.51,48.94,49.71,52.26,49.47,52.45
24,52.84,51.68,62.12,53.22,58.78,50.5,43.64,43.82
25,57.51,58.66,57.42,55.36,46.76,60.32,58.78,56.48
26,51.89,50.32,50.47,47.58,50.47,51.37,47.95,47.89
27,53.97,53.31,56.26,51.84,51.54,53.72,49.36,48.86
28,58.04,53.13,52.93,51.28,54.15,51.42,50.7,46.55
