,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,59.0,63.4,62.9,52.42,48.68,41.62,37.8,35.58
1,70.18,53.22,65.86,55.02,62.3,48.64,50.62,45.28
2,51.84,50.26,52.11,52.16,50.53,49.47,48.42,48.58
3,59.42,55.09,59.67,53.17,53.21,46.3,44.87,42.39
4,81.0,70.34,65.22,76.84,87.08,73.8,59.54,59.84
5,28.28,40.88,36.02,32.14,25.86,47.56,59.04,53.6
6,53.89,51.37,52.16,50.05,50.26,55.68,56.05,54.37
7,45.28,51.59,48.18,46.8,42.83,57.11,58.17,55.8
8,70.6,61.1,74.54,65.1,73.92,53.94,72.5,53.92
9,67.86,55.04,66.18,61.74,66.76,53.58,67.38,52.22
10,63.47,51.0,59.37,53.58,63.37,51.16,65.63,50.05
11,67.18,55.41,66.12,59.73,67.74,52.86,68.38,52.02
12,80.7,54.54,73.66,63.34,76.66,55.02,71.78,53.22
13,62.9,52.82,65.54,50.86,60.76,48.0,60.62,46.76
14,51.21,48.53,52.0,50.89,53.0,50.16,49.0,48.95
15,62.74,51.84,62.42,54.45,62.02,50.89,59.01,49.5
16,64.56,51.08,65.6,65.22,63.26,40.0,62.84,37.96
17,47.98,52.7,44.98,46.7,51.24,57.5,46.4,56.54
18,51.32,48.37,51.16,49.26,51.0,49.37,51.16,49.21
19,53.75,50.65,52.61,52.59,54.61,47.89,52.62,46.62
20,62.28,62.1,60.04,47.8,52.84,59.32,54.34,58.44
21,47.7,45.64,47.44,50.74,47.18,47.68,44.1,48.12
22,49.58,52.42,49.0,48.42,49.79,51.37,51.53,51.84
23,52.46,52.55,51.6,48.95,49.83,52.36,49.6,52.46
24,50.06,52.56,61.92,52.56,57.64,50.6,42.66,43.24
25,54.1,58.14,57.48,53.4,46.7,59.58,57.26,55.5
26,51.37,50.74,50.11,47.63,51.0,51.37,47.89,47.89
27,51.79,53.63,56.07,51.07,51.4,53.56,48.56,48.37
28,55.24,52.91,56.05,52.12,53.49,51.35,53.51,49.25
