,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,62.24,48.08,78.06,64.16,85.34,57.7,57.2,45.74
1,55.66,49.16,67.14,62.38,75.46,49.72,53.24,55.18
2,57.42,52.05,59.95,52.16,69.58,53.0,54.26,48.21
3,58.31,49.71,67.59,59.07,76.25,53.28,54.85,49.4
4,44.22,66.4,76.64,70.98,76.8,62.28,75.46,44.0
5,60.46,36.14,32.3,21.38,36.78,38.72,13.66,45.02
6,51.74,49.21,49.26,47.63,50.42,48.84,47.37,48.32
7,51.3,47.58,46.65,36.65,49.96,48.11,27.89,45.71
8,71.02,65.52,56.58,70.86,77.64,63.84,64.76,67.08
9,63.38,58.22,59.1,64.22,85.36,56.86,58.94,58.44
10,53.84,57.0,58.21,61.21,63.47,55.32,54.32,54.79
11,61.94,60.02,57.94,65.19,74.35,58.45,59.03,59.68
12,99.22,75.14,98.42,71.56,99.78,79.64,41.66,58.38
13,76.56,55.2,84.52,51.44,80.26,64.54,69.36,53.22
14,71.58,56.37,69.16,51.26,65.26,59.63,52.47,51.32
15,80.84,61.02,82.3,56.69,79.36,66.93,52.19,54.15
16,52.26,59.18,71.76,66.4,64.4,66.22,62.6,62.54
17,52.87,58.68,29.46,39.66,47.28,45.66,51.56,46.72
18,49.89,56.0,51.11,50.42,52.0,51.89,52.58,49.63
19,51.64,57.92,44.48,49.91,53.66,53.31,55.16,52.14
20,65.88,75.18,67.24,58.02,60.7,69.3,64.58,60.68
21,57.04,43.6,55.52,60.5,55.3,45.34,52.6,52.18
22,50.42,48.79,50.21,52.42,49.21,48.89,50.11,50.05
23,57.1,52.88,56.82,56.77,54.67,52.69,55.09,53.93
24,57.02,56.3,80.92,55.68,79.38,57.98,69.48,33.76
25,32.98,48.02,65.52,47.86,56.22,58.38,78.14,55.44
26,49.89,49.16,57.84,51.79,55.79,54.37,57.26,48.21
27,44.18,50.91,66.8,51.58,62.1,56.85,67.18,43.86
28,56.15,53.85,58.0,52.15,62.38,55.15,49.52,50.77
