,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,58.92,55.26,63.7,54.44,77.66,55.08,61.12,58.78
1,55.39,45.84,70.28,50.08,70.24,50.44,57.1,47.92
2,55.11,53.47,49.74,51.95,53.26,54.53,53.05,52.74
3,56.42,51.18,59.96,52.09,65.38,53.27,56.9,52.78
4,65.1,59.08,83.2,46.36,71.14,60.46,56.22,53.76
5,62.43,56.73,67.96,47.24,72.52,58.7,43.76,61.38
6,57.0,53.79,60.0,50.42,58.32,57.16,48.95,50.58
7,61.32,56.45,69.12,47.94,66.68,58.74,49.12,54.88
8,69.87,67.76,81.92,59.5,84.46,73.02,82.9,68.98
9,72.66,61.2,81.76,59.58,88.08,68.89,76.92,61.62
10,58.05,55.32,64.32,55.79,72.89,55.95,52.32,55.53
11,66.22,61.01,75.03,58.24,81.28,65.1,67.91,61.56
12,85.46,60.13,86.22,52.2,93.52,67.56,59.28,51.28
13,61.22,52.94,80.0,39.52,83.92,61.4,81.22,52.32
14,60.05,53.53,59.79,51.47,64.47,53.42,56.26,53.84
15,67.13,55.35,73.49,46.96,78.7,60.23,63.89,52.46
16,58.5,63.7,62.36,55.7,58.34,60.8,65.24,60.32
17,53.28,39.22,57.08,55.68,57.74,53.78,53.72,54.84
18,49.05,48.32,51.16,50.68,49.58,48.47,50.84,49.58
19,53.33,48.47,56.49,53.92,54.92,53.89,55.96,54.56
20,67.42,63.46,71.7,63.7,64.62,70.04,66.62,62.52
21,56.36,46.24,58.98,57.18,57.76,45.64,55.74,44.3
22,52.68,48.58,54.16,51.37,53.53,48.16,54.84,48.68
23,58.19,51.75,60.77,56.98,58.29,52.67,58.61,50.75
24,65.08,64.96,78.1,58.14,77.98,63.86,64.46,47.28
25,32.54,41.66,68.82,52.02,58.62,70.84,84.16,67.6
26,51.63,49.68,56.79,49.26,52.63,53.0,57.95,49.42
27,45.83,50.4,66.75,52.89,61.37,61.67,67.19,53.4
28,57.48,53.23,65.29,52.42,65.44,57.61,59.26,54.17
