,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,57.36,57.0,63.28,55.14,76.38,56.46,64.22,60.58
1,52.74,50.6,70.84,51.36,69.12,50.5,58.5,48.74
2,53.16,53.89,51.32,51.74,50.79,52.95,50.68,52.47
3,54.34,53.7,60.72,52.69,63.49,53.19,57.26,53.49
4,68.1,58.41,83.04,46.38,72.58,58.22,68.82,53.04
5,60.51,52.63,67.36,46.46,72.5,56.22,36.4,59.46
6,57.05,54.47,58.79,50.26,58.26,56.63,49.63,52.89
7,61.55,55.07,68.34,47.63,67.06,57.01,48.27,54.97
8,63.66,67.15,75.46,58.38,80.32,72.5,84.06,68.68
9,64.58,60.33,71.56,59.04,80.92,66.38,75.76,61.68
10,52.26,56.16,60.53,55.63,68.26,56.11,52.74,55.68
11,59.61,60.88,68.57,57.65,76.03,64.27,68.09,61.56
12,85.52,60.03,89.62,50.42,98.5,62.36,60.0,53.38
13,69.74,58.85,88.96,39.2,83.44,57.68,82.58,57.44
14,58.37,53.05,64.11,50.74,70.05,51.47,56.37,53.79
15,69.5,57.14,78.95,46.12,82.39,56.82,64.49,54.81
16,60.72,69.87,63.02,55.36,56.98,61.94,63.2,59.3
17,52.6,36.77,55.38,56.62,58.86,55.06,55.66,54.64
18,49.42,50.26,52.74,49.89,49.47,49.47,53.05,51.11
19,53.85,48.86,56.72,53.79,54.79,55.03,56.99,54.81
20,64.56,61.09,61.02,56.06,62.54,61.46,61.9,56.34
21,55.51,48.59,57.4,60.72,60.86,56.76,55.22,43.78
22,51.05,49.42,53.68,51.84,51.68,49.68,53.37,50.47
23,56.51,52.46,57.21,55.97,57.95,55.54,56.6,49.67
24,70.53,58.38,71.62,52.52,71.7,57.96,63.9,50.56
25,72.72,67.79,78.58,52.68,77.16,76.64,85.7,78.38
26,54.11,52.47,57.89,49.11,52.74,50.16,58.16,49.21
27,64.64,58.9,68.24,51.38,65.4,59.72,67.4,56.76
28,59.55,55.02,64.75,51.88,65.57,57.18,59.11,54.96
