,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,63.2,54.54,64.16,54.92,80.04,55.92,62.24,58.68
1,59.4,49.2,58.38,50.6,62.88,49.98,52.34,46.88
2,56.79,53.0,49.0,52.05,51.95,53.05,52.0,52.32
3,59.68,52.15,56.47,52.46,62.96,52.87,55.14,52.19
4,49.48,64.56,87.2,48.72,79.7,65.74,67.36,53.7
5,57.57,39.54,48.76,45.42,52.76,57.4,30.78,47.36
6,52.58,51.21,58.84,50.16,57.11,54.53,47.37,50.37
7,53.0,49.75,61.26,48.02,61.21,58.85,43.83,50.34
8,49.08,66.94,58.36,57.44,77.74,69.66,77.54,63.86
9,51.62,61.78,62.02,56.06,78.04,62.32,68.96,59.7
10,51.68,56.74,55.68,55.89,65.74,56.0,52.68,53.47
11,50.77,61.54,58.57,56.46,73.37,62.16,64.68,58.7
12,96.5,60.64,92.4,51.74,99.46,68.1,60.5,52.54
13,65.82,54.08,75.62,40.38,81.22,59.96,78.12,51.46
14,60.68,52.68,57.37,51.26,64.26,54.26,55.79,53.05
15,71.37,55.59,72.33,47.17,79.1,60.25,63.49,52.34
16,59.94,66.54,71.36,60.54,65.36,66.0,67.7,63.83
17,49.35,42.84,35.48,39.82,42.78,35.94,45.78,36.38
18,49.74,48.16,50.84,49.84,50.63,49.58,52.26,49.79
19,52.58,50.73,48.49,48.63,51.35,47.51,53.81,47.44
20,66.96,63.1,71.4,63.44,64.42,69.94,66.6,62.44
21,56.58,46.86,59.42,57.84,58.46,49.5,55.76,44.34
22,52.68,48.53,54.11,51.53,54.26,48.84,54.79,48.63
23,58.15,51.91,60.83,57.19,58.76,54.57,58.59,50.73
24,65.18,63.76,78.76,58.04,78.18,63.1,65.02,47.28
25,30.54,39.72,68.84,51.14,60.18,69.66,84.62,68.28
26,51.42,49.37,57.0,49.32,52.47,52.84,58.0,49.42
27,44.42,49.09,67.01,52.58,61.9,61.07,67.51,53.54
28,54.66,52.69,59.87,51.52,62.98,56.3,57.08,51.99
