,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,58.94,55.5,64.38,54.52,77.84,54.66,61.92,59.1
1,55.4,46.22,70.44,50.32,70.46,49.8,57.66,47.78
2,55.95,53.89,49.53,52.0,52.74,54.68,52.84,52.79
3,56.72,51.54,60.1,52.22,65.22,52.95,57.23,52.82
4,65.3,59.32,83.32,46.44,71.58,60.78,56.4,53.78
5,62.36,56.9,67.98,47.36,72.72,59.0,43.76,61.42
6,56.84,53.84,60.11,50.42,58.37,57.42,48.89,50.58
7,61.3,56.6,69.2,48.01,66.88,59.04,49.15,54.9
8,70.7,69.44,82.98,59.2,84.18,73.06,82.98,68.78
9,71.04,62.86,80.3,59.68,87.8,68.68,76.7,60.92
10,55.11,56.47,64.47,56.16,74.16,56.89,52.68,55.21
11,64.7,62.48,74.97,58.3,81.62,65.47,68.07,61.14
12,85.44,59.92,87.08,52.14,96.66,67.12,58.62,51.3
13,61.54,53.72,82.52,39.28,84.28,61.82,80.22,52.48
14,60.37,53.26,64.42,51.16,69.47,52.32,56.21,53.84
15,67.39,55.47,76.68,46.74,81.96,59.77,63.4,52.52
16,63.56,64.98,65.18,56.76,61.8,62.98,65.78,61.56
17,53.58,39.82,56.66,55.44,57.3,54.32,53.0,54.08
18,50.26,48.21,51.63,50.42,50.05,48.42,51.21,49.89
19,55.26,48.98,57.3,54.07,55.96,54.61,55.97,54.77
20,67.5,63.5,71.66,63.52,64.74,69.88,66.64,62.36
21,56.78,45.84,59.28,57.08,58.08,46.32,56.04,44.4
22,52.74,48.63,54.11,51.42,53.53,48.21,54.95,48.74
23,58.38,51.61,60.84,56.92,58.43,52.96,58.77,50.78
24,67.92,64.76,78.28,57.7,78.1,63.6,64.6,47.56
25,31.54,41.24,69.44,51.98,59.86,71.24,84.32,68.08
26,51.58,49.53,56.58,49.26,52.26,52.74,58.32,49.37
27,45.58,50.1,66.89,52.75,61.67,61.57,67.43,53.6
28,57.66,53.49,65.85,52.42,66.08,57.72,59.33,54.2
