,lof-mean,lof-std,maha-mean,maha-std,knn-mean,knn-std,cos-mean,cos-std
0,57.92,58.52,75.36,64.1,86.0,53.14,66.28,49.7
1,54.2,49.08,65.06,56.82,64.72,47.3,59.28,49.34
2,55.74,52.58,58.68,51.53,59.84,51.47,49.53,51.32
3,55.91,53.11,65.67,57.03,68.51,50.52,57.53,50.1
4,46.66,57.22,76.6,73.98,74.52,58.24,76.86,54.96
5,61.1,48.28,29.62,34.86,36.36,51.36,13.0,47.42
6,52.11,47.79,48.21,49.05,51.47,49.05,47.37,49.11
7,52.64,50.75,44.41,47.93,49.71,52.61,27.02,50.3
8,68.0,50.16,63.46,70.26,81.7,60.34,49.7,54.28
9,64.04,48.18,64.26,64.04,83.64,53.26,45.96,53.16
10,56.32,49.95,56.89,59.37,70.37,50.74,50.11,50.79
11,62.4,49.41,61.35,64.25,78.11,54.49,48.51,52.7
12,97.28,60.98,97.14,70.98,98.44,64.1,61.88,50.48
13,72.92,56.14,82.46,55.6,80.94,56.66,74.22,52.64
14,67.79,49.42,72.37,51.11,67.32,49.74,54.21,48.42
15,77.43,55.1,82.78,58.09,80.28,56.23,62.4,50.45
16,52.32,63.8,75.9,66.3,58.06,71.52,54.28,63.23
17,59.85,50.5,22.96,37.56,51.94,43.08,52.28,54.86
18,51.0,48.47,48.79,50.95,48.32,51.47,53.47,49.92
19,54.12,53.47,38.85,48.91,52.47,52.98,53.33,55.48
20,69.12,63.2,73.54,55.98,72.82,62.5,68.58,58.86
21,54.2,38.62,54.46,50.6,58.48,44.79,52.22,49.66
22,52.95,49.53,50.84,51.79,55.74,49.95,50.37,48.79
23,57.91,48.46,58.11,52.69,61.51,51.42,55.99,52.06
24,62.22,54.44,78.12,60.48,75.32,53.9,57.4,30.6
25,36.82,52.28,57.92,48.1,41.18,53.14,65.3,60.14
26,50.26,52.74,53.63,48.89,53.79,49.37,56.11,48.89
27,47.52,53.14,61.59,51.92,53.43,52.06,59.34,43.0
28,57.09,51.82,55.86,53.9,61.4,52.84,48.44,50.32
